,followers_count,in_reply_to_screen_name,created_at,text,likes,location,author,_id,retweet_count,type
0,301,N/A,2020-03-06 20:26:59,"b""RT @CMRNewsAgency: New York Times' Satellite Images Contradict Government Version On Ngarbuh Massacre https://t.co/4h8kIsptAX""",0,,AsekTimba,1236025507575197696,13,Retweet
1,3,N/A,2020-03-06 20:26:19,b'RT @AgborNkonghoF: The UN in its Briefing Notes today calls on the Cameroon Gov\xe2\x80\x99t to ensure that the investigation of the Ngarbuh Massacre\xe2\x80\xa6',0,,AfonAkwe,1236025338519531525,65,Retweet
2,51,N/A,2020-03-06 20:26:00,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,"Centre, Cameroon",Bambopark,1236025256319553536,183,Retweet
3,39,N/A,2020-03-06 20:25:06,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,,MollaKalem1,1236025032649904128,183,Retweet
4,258,N/A,2020-03-06 20:23:22,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,"Manchester, England",Nain___,1236024594009554945,183,Retweet
5,52,N/A,2020-03-06 20:20:49,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,Bamenda ,iam_promisekb,1236023953610674179,183,Retweet
6,13,N/A,2020-03-06 20:20:03,"b'RT @heytherehaIey: Witnesses told us this house was also burnt that day, when the attackers were moving b/t Ngarbuh 3 and Ngarbuh 2. The da\xe2\x80\xa6'",0,"Montréal, Québec",damas0077,1236023762539212802,26,Retweet
7,20,N/A,2020-03-06 20:19:57,b'RT @Efi_8Efi: @heytherehaIey Ngarbuh is just a tip of the iceberg of the horror going on.',0,,Wanangwen,1236023736324837379,4,Retweet
8,579,N/A,2020-03-06 20:19:43,"b""RT @Mimimefo237: NYT satellite investigation team blames gov't for Ngarbuh massacre\n\n''The government claimed it was an accident \xe2\x80\x94 but our\xe2\x80\xa6""",0,Bafoussam,CedricVilliams,1236023675469561856,17,Retweet
9,20,N/A,2020-03-06 20:19:23,"b'RT @heytherehaIey: Witnesses told us this house was also burnt that day, when the attackers were moving b/t Ngarbuh 3 and Ngarbuh 2. The da\xe2\x80\xa6'",0,,Wanangwen,1236023591818465280,26,Retweet
10,13,N/A,2020-03-06 20:18:48,b'RT @iayongwa: As part of the Ngarbuh investigation\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/304we31LWo\xe2\x86\x96\xef\xb8\x8fthis video was filmed at this Ngarbuh 2 residence\xf0\x9f\x97\xba\xef\xb8\x8fhttps://t.c\xe2\x80\xa6',0,"Montréal, Québec",damas0077,1236023445940551681,5,Retweet
11,20,N/A,2020-03-06 20:18:29,b'RT @heytherehaIey: Witnesses say 16 of the victims (incl. 12 children) were killed at this collection of homes in Ngarbuh 3. Three building\xe2\x80\xa6',0,,Wanangwen,1236023366882136064,26,Retweet
12,20,N/A,2020-03-06 20:18:25,"b'RT @heytherehaIey: Our findings contradict that account. We analyzed footage and satellite imagery and worked with @iayongwa, who spoke to\xe2\x80\xa6'",0,,Wanangwen,1236023349702258690,24,Retweet
13,20,N/A,2020-03-06 20:18:08,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,,Wanangwen,1236023277572800512,183,Retweet
14,579,N/A,2020-03-06 20:17:52,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,Bafoussam,CedricVilliams,1236023213437698048,183,Retweet
15,332,N/A,2020-03-06 20:17:27,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,Bandjoun,Lyapunov2003,1236023106550018050,183,Retweet
16,82,N/A,2020-03-06 20:09:34,b'RT @heytherehaIey: The government has since established a commission of inquiry to investigate and reportedly arrested nine soldiers in con\xe2\x80\xa6',0,,dan_essim,1236021121046192131,22,Retweet
17,1131,N/A,2020-03-06 20:09:05,"b'RT @heytherehaIey: THREAD: On February 14, over 20 people (mostly women and children) were killed in Ngarbuh village in #Cameroon. The gove\xe2\x80\xa6'",0,En première ligne,Medu_Neter_93,1236020999927271424,183,Retweet
